,Torsion,NSERCH,Energy,GRAD,DeltaE
0,0,23,-156.4228465418,5.85e-05,25.2596971734949
1,10,18,-156.423372691,9.31e-05,23.87818721905798
2,20,16,-156.4247889225,7.89e-05,20.15958816950236
3,30,16,-156.4267021853,3.94e-05,15.135934035536433
4,40,19,-156.4286426893,7.65e-05,10.040752682726497
5,50,18,-156.430184722,2.41e-05,5.991837422332486
6,60,23,-156.4310615763,6.75e-05,3.68948108681445
7,70,25,-156.4312168483,3.39e-05,3.281783396412743
8,80,24,-156.4306888649,9.87e-05,4.6681094098429945
9,90,26,-156.429573906,4.94e-05,7.595656993546515
10,100,390,-156.4282209688,5.78e-05,11.148064199614685
11,110,23,-156.427141462,8.19e-05,13.982525204328091
12,120,24,-156.4267263463,8.84e-05,15.072494497839289
13,130,362,-156.427113487,5.51e-05,14.05597916181428
14,140,21,-156.4281850977,7.01e-05,11.242250946837245
15,150,21,-156.4296331216,7.12e-05,7.440174592616324
16,160,646,-156.4310600533,5.67e-05,3.693480027937488
17,170,20,-156.4320918106,6.75e-05,0.9843948852952991
18,180,23,-156.4324667182,6.05e-05,0.0
