,Length,NSERCH,Energy,GRAD,DeltaE
0,1.45,11,-232.9995497493,7.06e-05,25.14744062138847
1,1.5,10,-233.0074050634,6.52e-05,4.521742389022088
2,1.55,5,-233.0091271727,7.42e-05,0.0
3,1.6,11,-233.0061114211,6.33e-05,7.918458976128175
4,1.65,19,-232.9994858977,8.41e-05,25.315095767518375
5,1.7,20,-232.9901643852,4.48e-05,49.790591138790866
6,1.75,20,-232.9789005901,4.84e-05,79.36593793280394
7,1.8,20,-232.9663220865,5.07e-05,112.39331483531552
8,1.85,20,-232.9529605653,6.3e-05,147.4766610501841
9,1.9,21,-232.9392786848,3.77e-05,183.40117467903897
10,1.95,21,-232.9256963349,5.57e-05,219.06435081144582
11,2.0,21,-232.912628428,7.97e-05,253.3767539587896
12,2.05,21,-232.9005442078,8.07e-05,285.1062909379162
13,2.1,21,-232.8900966067,9.69e-05,312.5385571461794
14,2.15,21,-232.8824624035,6.99e-05,332.5836844884529
15,2.2,22,-232.8796092131,4.35e-05,340.0753065217416
16,2.25,22,-232.8812781492,7.89e-05,335.69318100396293
17,2.3,23,-232.8851867409,4.5e-05,325.4303917772819
18,2.35,24,-232.8900395999,3.81e-05,312.68823990095484
19,2.4,25,-232.8952063985,4.22e-05,299.12177681696886
20,2.45,25,-232.9003522433,5.3e-05,285.61033212557766
21,2.5,25,-232.9052913516,6.48e-05,272.64171546228545
22,2.55,25,-232.9099213808,6.92e-05,260.48464779184224
23,2.6,26,-232.9141903297,7.46e-05,249.27566866509807
24,2.65,28,-232.9180777391,9.29e-05,239.0684978035347
25,2.7,29,-232.921583046,8.47e-05,229.86461347621594
26,2.75,30,-232.9247190604,6.94e-05,221.63038046610126
27,2.8,32,-232.9275067283,7.77e-05,214.31080086112297
28,2.85,35,-232.929971769,8.6e-05,207.83834349512662
29,2.9,33,-232.9321410104,7.32e-05,202.142566351154
30,2.95,32,-232.934044227,6.58e-05,197.1452905245371
31,3.0,32,-232.9357093441,4.31e-05,192.7731925550579
